"Date" "Time" "GBdem_r" "Idem_r" "GBwind_r" "Iwind_r"
"63" "2007-11-06" "14:00:00" 40332.6635209446 6510.32398942157 6770.64 705.846
"64" "2007-11-06" "15:00:00" 40718.6262884607 6594.09906614477 6994.29 735.351
"65" "2007-11-06" "16:00:00" 44634.410209242 6908.94401449535 7328.49 783.369
"66" "2007-11-06" "17:00:00" 48345.1792650608 7833.71710999328 7654.08 857.361
"67" "2007-11-06" "18:00:00" 46870.4092907989 7722.03038463305 7924.875 947.979
"68" "2007-11-06" "19:00:00" 44986.9466400794 7502.19045191477 8257.725 1059.072
"69" "2007-11-06" "20:00:00" 42474.1774908233 7094.6694127253 8649.57 1167.303
"70" "2007-11-06" "21:00:00" 39054.8860908422 6608.1923384946 9135.3 1236.012
"71" "2007-11-06" "22:00:00" 34983.558283383 5961.09904629523 9561.375 1297.389
"72" "2007-11-06" "23:00:00" 30954.5705023834 5362.14600740038 9958.665 1371.177
"73" "2007-11-07" "00:00:00" 29943.312396732 4670.87738612835 10350.405 1437.588
"74" "2007-11-07" "01:00:00" 29256.9582835972 4270.63942048155 10685.625 1486.347
"75" "2007-11-07" "02:00:00" 28352.2187708284 4042.79673499094 10930.92 1514.379
"76" "2007-11-07" "03:00:00" 27237.1161792288 3953.77054150923 11104.305 1563.141
"77" "2007-11-07" "04:00:00" 26594.8848305097 3959.77745522827 11143.605 1577.883
"78" "2007-11-07" "05:00:00" 27726.9234326932 4053.14914680959 11016.555 1539.756
"79" "2007-11-07" "06:00:00" 32712.7958116802 4627.46454248491 10780.98 1466.463
"80" "2007-11-07" "07:00:00" 38532.0981851882 5795.50259454947 10494.885 1378.419
"81" "2007-11-07" "08:00:00" 39834.8339466773 6304.10579201138 10123.92 1283.862
"82" "2007-11-07" "09:00:00" 40466.3688676592 6576.71974913379 9614.67 1168.26
"83" "2007-11-07" "10:00:00" 40563.0824017827 6588.9195160011 9265.38 1056.078
"84" "2007-11-07" "11:00:00" 40864.8108008687 6625.21449127821 9158.07 982.422
"85" "2007-11-07" "12:00:00" 40955.2847521455 6680.06528520663 9137.76 905.94
"86" "2007-11-07" "13:00:00" 40579.1270433885 6510.01297562808 8938.725 821.844
"87" "2007-11-07" "14:00:00" 40547.9291291551 6557.35596346628 8579.49 754.407
"88" "2007-11-07" "15:00:00" 41000.7445700285 6650.45209013809 8149.53 717.312
"89" "2007-11-07" "16:00:00" 45057.3647893491 6954.33530717352 7548.03 718.125
"90" "2007-11-07" "17:00:00" 47844.2298993702 7773.84929571006 6959.64 739.527
"91" "2007-11-07" "18:00:00" 46294.5849309481 7703.08262171726 6514.2 776.826
"92" "2007-11-07" "19:00:00" 44539.0337285856 7507.57132496562 6333.84 835.848
"93" "2007-11-07" "20:00:00" 42033.3955311542 7128.27094166608 6428.37 910.989
"94" "2007-11-07" "21:00:00" 38685.4136494209 6647.53458010107 6755.265 985.419
"95" "2007-11-07" "22:00:00" 34828.014396705 5958.58685746005 7060.965 1060.926
"96" "2007-11-07" "23:00:00" 31036.1307638793 5421.74695178338 7344.21 1126.887
"97" "2007-11-08" "00:00:00" 29892.9500494696 4730.61811950671 7652.265 1191.999
"98" "2007-11-08" "01:00:00" 29277.9054545824 4315.6748866261 8032.965 1284.6
"99" "2007-11-08" "02:00:00" 27956.8966290423 4066.7207186026 8507.91 1398.387
"100" "2007-11-08" "03:00:00" 26812.3788611654 3973.61121499343 9005.1 1572.207
"101" "2007-11-08" "04:00:00" 26265.0783086137 3933.53190413873 9518.175 1770.648
"102" "2007-11-08" "05:00:00" 27316.4480182794 3999.45077603426 9971.895 1937.799
"103" "2007-11-08" "06:00:00" 32313.9081939817 4526.63721486906 10360.455 2059.563
"104" "2007-11-08" "07:00:00" 38042.7366162128 5691.05814307296 10664.865 2123.544
"105" "2007-11-08" "08:00:00" 39560.7379859124 6240.43491443828 10936.35 2153.232
"106" "2007-11-08" "09:00:00" 40175.7825807995 6518.52405201988 11195.685 2178.231
"107" "2007-11-08" "10:00:00" 40303.6940291564 6556.52057372849 11462.85 2154.903
"108" "2007-11-08" "11:00:00" 40693.667957074 6572.27726823836 11685.3 2051.76
"109" "2007-11-08" "12:00:00" 40791.2728601756 6616.69003794906 11750.67 1915.599
"110" "2007-11-08" "13:00:00" 40663.3614118187 6406.42197275479 11759.64 1847.055
"111" "2007-11-08" "14:00:00" 40698.1248019645 6405.91966875713 11724.345 1772.625
"112" "2007-11-08" "15:00:00" 41196.4000607209 6488.72959945019 11803.665 1671.861
"113" "2007-11-08" "16:00:00" 45026.6125596048 6701.50182731722 11922.03 1530.576
"114" "2007-11-08" "17:00:00" 47901.2775139684 7624.8670001586 11935.725 1417.287
"115" "2007-11-08" "18:00:00" 46643.1102013841 7610.57976221712 11789.91 1386.069
"116" "2007-11-08" "19:00:00" 44866.6118280363 7472.71637699472 11592.93 1406.313
"117" "2007-11-08" "20:00:00" 42326.2102404591 7138.8333714012 11422.44 1439.382
"118" "2007-11-08" "21:00:00" 39139.5661437614 6648.43417913816 11407.77 1503.243
"119" "2007-11-08" "22:00:00" 35280.8298375784 5963.17782236012 11476.635 1573.626
"120" "2007-11-08" "23:00:00" 31525.0466483656 5490.69770653031 11527.035 1620.003
"121" "2007-11-09" "00:00:00" 30548.106248371 4810.51321555023 11529.405 1628.226
"122" "2007-11-09" "01:00:00" 29856.4039213676 4382.58030765152 11440.095 1589.412
"123" "2007-11-09" "02:00:00" 28868.3214091468 4155.7014304973 11292.42 1541.118
"124" "2007-11-09" "03:00:00" 27853.052143094 4083.8632638224 11218.665 1470.849
"125" "2007-11-09" "04:00:00" 27209.0380564187 4059.25772525252 11069.475 1409.547
"126" "2007-11-09" "05:00:00" 28212.7195257562 4136.10421727295 10869 1357.833
"127" "2007-11-09" "06:00:00" 33127.7280709845 4652.85062534942 10651.14 1323.249
"128" "2007-11-09" "07:00:00" 38720.6227240557 5771.50303124175 10355.43 1286.877
"129" "2007-11-09" "08:00:00" 40368.7639645575 6347.43502979636 9928.005 1228.26
"130" "2007-11-09" "09:00:00" 41372.8911183841 6694.19668182793 9118.365 1105.122
"131" "2007-11-09" "10:00:00" 41486.0949786025 6741.87944387493 8469.405 959.541
"132" "2007-11-09" "11:00:00" 41628.714015098 6753.58091982578 8367.15 876.009
"133" "2007-11-09" "12:00:00" 41367.5429045155 6757.19403060523 8486.505 833.463
"134" "2007-11-09" "13:00:00" 40658.9045669282 6537.03171369671 8597.715 820.011
"135" "2007-11-09" "14:00:00" 40208.3175485 6529.52190106589 8675.565 867.954
"136" "2007-11-09" "15:00:00" 40153.052671858 6561.01589352647 8695.605 935.382
"137" "2007-11-09" "16:00:00" 43763.0970331519 6789.50334739757 8799.6 1053.882
"138" "2007-11-09" "17:00:00" 46762.5536444492 7517.36190541538 8985.09 1198.881
"139" "2007-11-09" "18:00:00" 45364.8870867927 7468.04648816426 9209.625 1335.504
"140" "2007-11-09" "19:00:00" 43290.2257902713 7272.22685300659 9441.645 1449.585
"141" "2007-11-09" "20:00:00" 40521.6337443012 6852.14085656004 9703.305 1534.479
"142" "2007-11-09" "21:00:00" 37384.4606258879 6403.20080623983 10093.635 1616.91
