"Date" "Time" "Idem" "Iwind" "GBdem" "GBwind"
"76" 2007-11-07 03:00:00 2955.662 0.521047 30556.5 0.740287
"77" 2007-11-07 04:00:00 2960.1525 0.525961 29836 0.742907
"78" 2007-11-07 05:00:00 3029.953 0.513252 31106 0.734437
"79" 2007-11-07 06:00:00 3459.2855 0.488821 36699.5 0.718732
"80" 2007-11-07 07:00:00 4332.4585 0.459473 43228 0.699659
"81" 2007-11-07 08:00:00 4712.6675 0.427954 44689.5 0.674928
"82" 2007-11-07 09:00:00 4916.4615 0.38942 45398 0.640978
"83" 2007-11-07 10:00:00 4925.5815 0.352026 45506.5 0.617692
"84" 2007-11-07 11:00:00 4952.714 0.327474 45845 0.610538
"85" 2007-11-07 12:00:00 4993.718 0.30198 45946.5 0.609184
"86" 2007-11-07 13:00:00 4866.5945 0.273948 45524.5 0.595915
"87" 2007-11-07 14:00:00 4901.986 0.251469 45489.5 0.571966
"88" 2007-11-07 15:00:00 4971.5805 0.239104 45997.5 0.543302
"89" 2007-11-07 16:00:00 5198.75 0.239375 50548.5 0.503202
"90" 2007-11-07 17:00:00 5811.382 0.246509 53675 0.463976
"91" 2007-11-07 18:00:00 5758.48 0.258942 51936.5 0.43428
"92" 2007-11-07 19:00:00 5612.3245 0.278616 49967 0.422256
"93" 2007-11-07 20:00:00 5328.7765 0.303663 47156 0.428558
"94" 2007-11-07 21:00:00 4969.3995 0.328473 43400 0.450351
"95" 2007-11-07 22:00:00 4454.373 0.353642 39072.5 0.470731
"96" 2007-11-07 23:00:00 4053.0555 0.375629 34818.5 0.489614
"97" 2007-11-08 00:00:00 3536.3985 0.397333 33536 0.510151
"98" 2007-11-08 01:00:00 3226.2055 0.4282 32846 0.535531
"99" 2007-11-08 02:00:00 3040.0985 0.466129 31364 0.567194
"100" 2007-11-08 03:00:00 2970.494 0.524069 30080 0.60034
"101" 2007-11-08 04:00:00 2940.5325 0.590216 29466 0.634545
"102" 2007-11-08 05:00:00 2989.8105 0.645933 30645.5 0.664793
"103" 2007-11-08 06:00:00 3383.9115 0.686521 36252 0.690697
"104" 2007-11-08 07:00:00 4254.3805 0.707848 42679 0.710991
"105" 2007-11-08 08:00:00 4665.07 0.717744 44382 0.72909
"106" 2007-11-08 09:00:00 4872.957 0.726077 45072 0.746379
"107" 2007-11-08 10:00:00 4901.3615 0.718301 45215.5 0.76419
"108" 2007-11-08 11:00:00 4913.1405 0.68392 45653 0.77902
"109" 2007-11-08 12:00:00 4946.3415 0.638533 45762.5 0.783378
"110" 2007-11-08 13:00:00 4789.1545 0.615685 45619 0.783976
"111" 2007-11-08 14:00:00 4788.779 0.590875 45658 0.781623
"112" 2007-11-08 15:00:00 4850.684 0.557287 46217 0.786911
"113" 2007-11-08 16:00:00 5009.743 0.510192 50514 0.794802
"114" 2007-11-08 17:00:00 5700.0095 0.472429 53739 0.795715
"115" 2007-11-08 18:00:00 5689.329 0.462023 52327.5 0.785994
"116" 2007-11-08 19:00:00 5586.2685 0.468771 50334.5 0.772862
"117" 2007-11-08 20:00:00 5336.6725 0.479794 47484.5 0.761496
"118" 2007-11-08 21:00:00 4970.072 0.501081 43909.5 0.760518
"119" 2007-11-08 22:00:00 4457.805 0.524542 39580.5 0.765109
"120" 2007-11-08 23:00:00 4104.6 0.540001 35367 0.768469
"121" 2007-11-09 00:00:00 3596.1245 0.542742 34271 0.768627
"122" 2007-11-09 01:00:00 3276.221 0.529804 33495 0.762673
"123" 2007-11-09 02:00:00 3106.6165 0.513706 32386.5 0.752828
"124" 2007-11-09 03:00:00 3052.9135 0.490283 31247.5 0.747911
"125" 2007-11-09 04:00:00 3034.5195 0.469849 30525 0.737965
"126" 2007-11-09 05:00:00 3091.9665 0.452611 31651 0.7246
"127" 2007-11-09 06:00:00 3478.263 0.441083 37165 0.710076
"128" 2007-11-09 07:00:00 4314.5175 0.428959 43439.5 0.690362
"129" 2007-11-09 08:00:00 4745.0585 0.40942 45288.5 0.661867
"130" 2007-11-09 09:00:00 5004.282 0.368374 46415 0.607891
"131" 2007-11-09 10:00:00 5039.9275 0.319847 46542 0.564627
"132" 2007-11-09 11:00:00 5048.675 0.292003 46702 0.55781
"133" 2007-11-09 12:00:00 5051.376 0.277821 46409 0.565767
"134" 2007-11-09 13:00:00 4886.7925 0.273337 45614 0.573181
"135" 2007-11-09 14:00:00 4881.1785 0.289318 45108.5 0.578371
"136" 2007-11-09 15:00:00 4904.722 0.311794 45046.5 0.579707
"137" 2007-11-09 16:00:00 5075.529 0.351294 49096.5 0.58664
"138" 2007-11-09 17:00:00 5619.6435 0.399627 52461.5 0.599006
"139" 2007-11-09 18:00:00 5582.7775 0.445168 50893.5 0.613975
"140" 2007-11-09 19:00:00 5436.3915 0.483195 48566 0.629443
"141" 2007-11-09 20:00:00 5122.354 0.511493 45460 0.646887
"142" 2007-11-09 21:00:00 4786.7465 0.53897 41940.5 0.672909
"143" 2007-11-09 22:00:00 4365.8795 0.565603 38423 0.698846
"144" 2007-11-09 23:00:00 4158.0865 0.578083 35188 0.72051
"145" 2007-11-10 00:00:00 3694.0655 0.57645 34374.5 0.732787
"146" 2007-11-10 01:00:00 3343.539 0.566302 33061.5 0.73418
"147" 2007-11-10 02:00:00 3102.535 0.546955 31598 0.721697
"148" 2007-11-10 03:00:00 2955.429 0.520996 30074.5 0.698847
"149" 2007-11-10 04:00:00 2905.8525 0.492697 28883 0.664491
"150" 2007-11-10 05:00:00 2930.154 0.468499 28964.5 0.617686
"151" 2007-11-10 06:00:00 3089.3995 0.451675 31152.5 0.566057
"152" 2007-11-10 07:00:00 3393.0205 0.44257 33731.5 0.517346
"153" 2007-11-10 08:00:00 3744.646 0.436799 37329.5 0.476306
"154" 2007-11-10 09:00:00 4202.935 0.431759 40173 0.457098
"155" 2007-11-10 10:00:00 4434.6305 0.431511 40888 0.457802
"156" 2007-11-10 11:00:00 4515.386 0.442775 41168.5 0.475057
"157" 2007-11-10 12:00:00 4509.9115 0.455788 40697 0.499066
"158" 2007-11-10 13:00:00 4364.48 0.467535 39768.5 0.523644
"159" 2007-11-10 14:00:00 4223.8125 0.47483 38999 0.549603
"160" 2007-11-10 15:00:00 4199.531 0.479958 39239.5 0.575313
"161" 2007-11-10 16:00:00 4487.613 0.492041 43288 0.613808
"162" 2007-11-10 17:00:00 5273.8735 0.502285 47006 0.665589
"163" 2007-11-10 18:00:00 5288.179 0.511682 45718.5 0.721911
"164" 2007-11-10 19:00:00 4985.95 0.518479 43510.5 0.762298
"165" 2007-11-10 20:00:00 4680.448 0.522011 41023 0.78593
"166" 2007-11-10 21:00:00 4352.7655 0.527479 38398 0.798168
"167" 2007-11-10 22:00:00 4048.096 0.531153 36179.5 0.802511
"168" 2007-11-10 23:00:00 3920.305 0.533234 33749.5 0.803802
"169" 2007-11-11 00:00:00 3566.9405 0.534972 32967 0.802456
"170" 2007-11-11 01:00:00 3259.085 0.535036 31348.5 0.797403
"171" 2007-11-11 02:00:00 3011.715 0.530953 29698 0.788099
"172" 2007-11-11 03:00:00 2901.829 0.53585 28250 0.774378
"173" 2007-11-11 04:00:00 2817.417 0.53529 27176.5 0.755164
"174" 2007-11-11 05:00:00 2777.015 0.517546 27169.5 0.731074
"175" 2007-11-11 06:00:00 2826.495 0.486384 28257.5 0.70002
"176" 2007-11-11 07:00:00 2939.136 0.449229 29084.5 0.663187
"177" 2007-11-11 08:00:00 3106.549 0.411292 32150.5 0.62238
"178" 2007-11-11 09:00:00 3555.2645 0.368655 35807 0.567659
"179" 2007-11-11 10:00:00 3924.821 0.331128 38007 0.517914
"180" 2007-11-11 11:00:00 4147.823 0.30667 39007 0.482287
"181" 2007-11-11 12:00:00 4380.469 0.286993 39942.5 0.454135
"182" 2007-11-11 13:00:00 4354.4205 0.257589 39575 0.425819
"183" 2007-11-11 14:00:00 4179.5135 0.225921 39186.5 0.403946
"184" 2007-11-11 15:00:00 4102.7925 0.202308 39682.5 0.401929
"185" 2007-11-11 16:00:00 4341.0865 0.187653 44033 0.404284
"186" 2007-11-11 17:00:00 5044.591 0.176689 47384.5 0.40079
"187" 2007-11-11 18:00:00 5111.2815 0.159111 46408.5 0.390374
"188" 2007-11-11 19:00:00 4951.2045 0.137337 44890 0.378121
"189" 2007-11-11 20:00:00 4744.693 0.116043 43015 0.365476
"190" 2007-11-11 21:00:00 4514.3035 0.096986 40204 0.349583
"191" 2007-11-11 22:00:00 4148.695 0.080462 36968 0.335565
"192" 2007-11-11 23:00:00 3906.0045 0.066526 33460 0.319475
"193" 2007-11-12 00:00:00 3496.6505 0.05353 32816 0.297962
"194" 2007-11-12 01:00:00 3257.492 0.039883 32374 0.273105
"195" 2007-11-12 02:00:00 3096.568 0.027591 31569 0.245279
"196" 2007-11-12 03:00:00 3024.6815 0.017405 30665 0.220002
"197" 2007-11-12 04:00:00 3010.9205 0.012095 29978.5 0.201495
"198" 2007-11-12 05:00:00 3078.1525 0.008916 31443 0.188632
"199" 2007-11-12 06:00:00 3496.2075 0.006612 37498 0.17961
"200" 2007-11-12 07:00:00 4412.8335 0.007752 44307 0.171548
"201" 2007-11-12 08:00:00 4843.837 0.011911 46363 0.160383
"202" 2007-11-12 09:00:00 5146.4385 0.019415 47877.5 0.138914
"203" 2007-11-12 10:00:00 5192.9915 0.028513 48127 0.12498
"204" 2007-11-12 11:00:00 5203.081 0.040245 48277 0.1241
"205" 2007-11-12 12:00:00 5220.7765 0.067874 48012 0.129504
"206" 2007-11-12 13:00:00 5064.754 0.101504 47495.5 0.140824
"207" 2007-11-12 14:00:00 5063.2745 0.130103 47337 0.155471
"208" 2007-11-12 15:00:00 5141.473 0.15716 47695.5 0.170473
"209" 2007-11-12 16:00:00 5457.92 0.195199 52586.5 0.18819
"210" 2007-11-12 17:00:00 6051.1915 0.237659 56015.5 0.208347
"211" 2007-11-12 18:00:00 5892.081 0.27808 54458.5 0.22933
"212" 2007-11-12 19:00:00 5736.874 0.312065 52530 0.248106
"213" 2007-11-12 20:00:00 5416.987 0.336284 49453 0.263394
"214" 2007-11-12 21:00:00 5061.9325 0.355081 45598 0.272846
"215" 2007-11-12 22:00:00 4571.924 0.363515 41082 0.277412
"216" 2007-11-12 23:00:00 4155.039 0.365086 36318 0.285837
"217" 2007-11-13 00:00:00 3654.1715 0.364457 35343 0.299736
"218" 2007-11-13 01:00:00 3364.36 0.361044 34812.5 0.323283
"219" 2007-11-13 02:00:00 3191.825 0.355761 33976.5 0.351321
"220" 2007-11-13 03:00:00 3139.732 0.361584 32779 0.387171
"221" 2007-11-13 04:00:00 3096.56 0.383753 31846 0.418963
"222" 2007-11-13 05:00:00 3145.508 0.407141 32882.5 0.434462
"223" 2007-11-13 06:00:00 3543.8785 0.431773 38379.5 0.44789
"224" 2007-11-13 07:00:00 4428.5305 0.462083 45358 0.468263
"225" 2007-11-13 08:00:00 4837.738 0.489388 47054 0.49087
"226" 2007-11-13 09:00:00 5007.6435 0.511106 47997.5 0.507457
"227" 2007-11-13 10:00:00 5054.056 0.525831 48368 0.526971
"228" 2007-11-13 11:00:00 5086.1485 0.533457 48566.5 0.556199
"229" 2007-11-13 12:00:00 5118.1765 0.540046 48454 0.590446
"230" 2007-11-13 13:00:00 4987.6695 0.544953 48217 0.614746
"231" 2007-11-13 14:00:00 5009.9355 0.546791 48018.5 0.628557
"232" 2007-11-13 15:00:00 5116.945 0.545163 48324 0.637809
"233" 2007-11-13 16:00:00 5440.659 0.539292 52604.5 0.639547
"234" 2007-11-13 17:00:00 5967.68 0.527 55577.5 0.633363
"235" 2007-11-13 18:00:00 5791.855 0.514191 53808.5 0.619758
"236" 2007-11-13 19:00:00 5656.2725 0.503672 51604.5 0.597424
"237" 2007-11-13 20:00:00 5396.7335 0.493641 49148.5 0.567114
"238" 2007-11-13 21:00:00 5039.4735 0.479726 45178 0.528953
"239" 2007-11-13 22:00:00 4575.098 0.456157 40765.5 0.49023
"240" 2007-11-13 23:00:00 4179.775 0.420439 36284.5 0.450996
"241" 2007-11-14 00:00:00 3692.908 0.374986 35420 0.412225
"242" 2007-11-14 01:00:00 3402.071 0.323801 34894.5 0.375042
"243" 2007-11-14 02:00:00 3249.1795 0.274881 33919.5 0.340862
"244" 2007-11-14 03:00:00 3192.8635 0.24402 32904.5 0.315453
"245" 2007-11-14 04:00:00 3156.539 0.226862 31800.5 0.289187
"246" 2007-11-14 05:00:00 3205.8435 0.220471 32856 0.258115
"247" 2007-11-14 06:00:00 3587.0365 0.225196 38449.5 0.225552
"248" 2007-11-14 07:00:00 4486.9525 0.240352 45251.5 0.190102
"249" 2007-11-14 08:00:00 4911.2235 0.25863 46493.5 0.152172
"250" 2007-11-14 09:00:00 5121.4295 0.267647 47627.5 0.114653
"251" 2007-11-14 10:00:00 5167.8415 0.268428 47556 0.090031
"252" 2007-11-14 11:00:00 5194.4635 0.270108 47757 0.078892
"253" 2007-11-14 12:00:00 5232.8025 0.275506 47660 0.072557
"254" 2007-11-14 13:00:00 5098.0315 0.281216 47399 0.07133
"255" 2007-11-14 14:00:00 5097.054 0.284054 47472.5 0.073048
"256" 2007-11-14 15:00:00 5168.7315 0.277357 48111 0.074677
"257" 2007-11-14 16:00:00 5520.2165 0.267935 52573 0.077689
"258" 2007-11-14 17:00:00 6109.669 0.253987 55608.5 0.080418
"259" 2007-11-14 18:00:00 5920.7415 0.235625 53977 0.082546
"260" 2007-11-14 19:00:00 5739.4135 0.215447 51946 0.083794
"261" 2007-11-14 20:00:00 5484.0705 0.195406 49411 0.084927
"262" 2007-11-14 21:00:00 5116.286 0.172075 45449.5 0.083981
"263" 2007-11-14 22:00:00 4637.3215 0.143367 41302 0.081917
"264" 2007-11-14 23:00:00 4301.5275 0.117041 37005.5 0.079521
"265" 2007-11-15 00:00:00 3807.8245 0.09485 36187.5 0.077709
"266" 2007-11-15 01:00:00 3495.7165 0.07603 35605 0.076505
"267" 2007-11-15 02:00:00 3309.3175 0.059833 34665 0.074417
"268" 2007-11-15 03:00:00 3247.3125 0.047752 33736 0.073795
"269" 2007-11-15 04:00:00 3225.596 0.039721 32877.5 0.074904
"270" 2007-11-15 05:00:00 3283.026 0.035745 33898.5 0.074884
"271" 2007-11-15 06:00:00 3696.703 0.034584 39493 0.073547
"272" 2007-11-15 07:00:00 4561.856 0.037405 46058.5 0.072169
"273" 2007-11-15 08:00:00 4957.173 0.045783 47591.5 0.07197
"274" 2007-11-15 09:00:00 5155.204 0.054073 48540 0.068386
"275" 2007-11-15 10:00:00 5180.929 0.061529 48578.5 0.062264
"276" 2007-11-15 11:00:00 5200.652 0.070291 48492.5 0.059742
"277" 2007-11-15 12:00:00 5221.7755 0.077906 48197 0.061945
"278" 2007-11-15 13:00:00 5104.841 0.082276 47714 0.065304
"279" 2007-11-15 14:00:00 5112.677 0.08201 47483.5 0.068402
"280" 2007-11-15 15:00:00 5184.858 0.078463 47631 0.070344
"281" 2007-11-15 16:00:00 5516.254 0.077304 52447 0.0723
"282" 2007-11-15 17:00:00 6041.159 0.080268 55474 0.072948
"283" 2007-11-15 18:00:00 5916.559 0.085273 54319 0.072302
"284" 2007-11-15 19:00:00 5781.53 0.0899 52342 0.071343
"285" 2007-11-15 20:00:00 5502.138 0.095322 49637 0.070639
"286" 2007-11-15 21:00:00 5187.714 0.102613 46060.5 0.070701
"287" 2007-11-15 22:00:00 4678.3485 0.108969 41864 0.072551
"288" 2007-11-15 23:00:00 4325.718 0.112727 37568 0.07696
"289" 2007-11-16 00:00:00 3831.78 0.113017 36690 0.081075
"290" 2007-11-16 01:00:00 3495.775 0.113565 36172.5 0.083895
"291" 2007-11-16 02:00:00 3297.383 0.11388 35320.5 0.087206
"292" 2007-11-16 03:00:00 3234.451 0.113868 34413.5 0.090195
"293" 2007-11-16 04:00:00 3202.67 0.116034 33286 0.095025
"294" 2007-11-16 05:00:00 3257.507 0.121812 34132 0.102064
"295" 2007-11-16 06:00:00 3660.095 0.132032 39856 0.111518
"296" 2007-11-16 07:00:00 4518.2365 0.145247 46545 0.121017
"297" 2007-11-16 08:00:00 4923.784 0.160795 48365.5 0.127575
"298" 2007-11-16 09:00:00 5118.468 0.180634 49202 0.131597
"299" 2007-11-16 10:00:00 5148.1275 0.197407 49317.5 0.133841
"300" 2007-11-16 11:00:00 5155.7555 0.215386 49238.5 0.140792
"301" 2007-11-16 12:00:00 5153.4365 0.236262 48800.5 0.153253
"302" 2007-11-16 13:00:00 4991.217 0.256993 47900.5 0.164406
"303" 2007-11-16 14:00:00 4966.2665 0.270975 47855 0.172218
"304" 2007-11-16 15:00:00 5010.02 0.268988 47900.5 0.181819
"305" 2007-11-16 16:00:00 5281.379 0.271544 52126.5 0.190477
"306" 2007-11-16 17:00:00 5753.9485 0.285267 54517.5 0.19923
"307" 2007-11-16 18:00:00 5638.6805 0.304707 52960 0.209919
"308" 2007-11-16 19:00:00 5513.2765 0.327662 50501.5 0.22262
"309" 2007-11-16 20:00:00 5189.7685 0.355986 47589 0.239539
"310" 2007-11-16 21:00:00 4791.6055 0.402302 43934 0.257319
"311" 2007-11-16 22:00:00 4386.9375 0.453118 40766.5 0.279833
"312" 2007-11-16 23:00:00 4210.228 0.498108 37638 0.30746
"313" 2007-11-17 00:00:00 3769.5615 0.536357 36807 0.338714
"314" 2007-11-17 01:00:00 3427.265 0.567577 35602.5 0.370235
"315" 2007-11-17 02:00:00 3171.4745 0.590815 34365.5 0.399312
"316" 2007-11-17 03:00:00 3045.2155 0.6075 33044.5 0.426531
"317" 2007-11-17 04:00:00 2967.476 0.615739 31854.5 0.444062
"318" 2007-11-17 05:00:00 2932.3175 0.618796 31723 0.452172
"319" 2007-11-17 06:00:00 3082.5905 0.62114 33363 0.45354
"320" 2007-11-17 07:00:00 3399.373 0.625356 35788 0.451829
"321" 2007-11-17 08:00:00 3721.191 0.629729 39148.5 0.451366
"322" 2007-11-17 09:00:00 4218.3545 0.623967 42326 0.457797
"323" 2007-11-17 10:00:00 4501.1095 0.620768 43318.5 0.472088
"324" 2007-11-17 11:00:00 4669.711 0.622375 43359 0.49524
"325" 2007-11-17 12:00:00 4785.4295 0.618619 42991 0.519346
"326" 2007-11-17 13:00:00 4707.475 0.599989 42209.5 0.542032
"327" 2007-11-17 14:00:00 4662.35 0.568493 41769.5 0.563473
"328" 2007-11-17 15:00:00 4719.2615 0.527636 42373.5 0.576023
"329" 2007-11-17 16:00:00 5114.143 0.478908 46305.5 0.585226
"330" 2007-11-17 17:00:00 5624.172 0.422022 49040 0.587785
"331" 2007-11-17 18:00:00 5506.4725 0.361144 47291 0.582696
"332" 2007-11-17 19:00:00 5203.888 0.304528 45118.5 0.573279
"333" 2007-11-17 20:00:00 4906.9625 0.25751 42908 0.564292
"334" 2007-11-17 21:00:00 4606.258 0.218661 40026.5 0.55611
"335" 2007-11-17 22:00:00 4301.219 0.186286 37545.5 0.552642
"336" 2007-11-17 23:00:00 4177.905 0.154781 35201 0.548768
"337" 2007-11-18 00:00:00 3819.2075 0.121795 34914.5 0.538909
"338" 2007-11-18 01:00:00 3500.839 0.094125 33892.5 0.519938
"339" 2007-11-18 02:00:00 3267.717 0.077481 32694 0.493399
"340" 2007-11-18 03:00:00 3139.309 0.083495 31290.5 0.473905
"341" 2007-11-18 04:00:00 3045.7315 0.108321 30039.5 0.451068
"342" 2007-11-18 05:00:00 2984.886 0.139758 29853 0.433022
