"Capacity" "Availability"
"1" 540 0.823119524247263
"2" 540 0.823119524247263
"3" 610 0.823119524247263
"4" 610 0.823119524247263
"5" 620 0.823119524247263
"6" 580 0.823119524247263
"7" 590 0.823119524247263
"8" 590 0.823119524247263
"9" 450 0.823119524247263
"10" 450 0.823119524247263
"11" 600 0.823119524247263
"12" 620 0.823119524247263
"13" 640 0.878635150608654
"14" 640 0.878635150608654
"15" 650 0.878635150608654
"16" 470 0.878635150608654
"17" 480 0.878635150608654
"18" 490 0.878635150608654
"19" 510 0.878635150608654
"20" 500 0.878635150608654
"21" 500 0.878635150608654
"22" 490 0.878635150608654
"23" 500 0.878635150608654
"24" 640 0.878635150608654
"25" 470 0.878635150608654
"26" 480 0.878635150608654
"27" 520 0.878635150608654
"28" 500 0.878635150608654
"29" 540 0.878635150608654
"30" 500 0.878635150608654
"31" 500 0.878635150608654
"32" 500 0.878635150608654
"33" 500 0.878635150608654
"34" 480 0.878635150608654
"35" 470 0.878635150608654
"36" 490 0.878635150608654
"37" 500 0.878635150608654
"38" 470 0.878635150608654
"39" 110 0.878635150608654
"40" 480 0.878635150608654
"41" 490 0.878635150608654
"42" 500 0.878635150608654
"43" 480 0.878635150608654
"44" 510 0.87208554182618
"45" 20 0.87208554182618
"46" 30 0.87208554182618
"47" 30 0.87208554182618
"48" 20 0.87208554182618
"49" 50 0.87208554182618
"50" 40 0.87208554182618
"51" 400 0.87208554182618
"52" 390 0.87208554182618
"53" 430 0.87208554182618
"54" 450 0.87208554182618
"55" 430 0.87208554182618
"56" 410 0.87208554182618
"57" 460 0.87208554182618
"58" 450 0.87208554182618
"59" 460 0.87208554182618
"60" 450 0.87208554182618
"61" 430 0.87208554182618
"62" 420 0.87208554182618
"63" 440 0.87208554182618
"64" 450 0.87208554182618
"65" 430 0.87208554182618
"66" 420 0.87208554182618
"67" 410 0.87208554182618
"68" 450 0.87208554182618
"69" 430 0.87208554182618
"70" 420 0.87208554182618
"71" 420 0.87208554182618
"72" 430 0.87208554182618
"73" 430 0.87208554182618
"74" 410 0.87208554182618
"75" 430 0.87208554182618
"76" 450 0.87208554182618
"77" 390 0.87208554182618
"78" 340 0.87208554182618
"79" 340 0.87208554182618
"80" 350 0.87208554182618
"81" 340 0.87208554182618
"82" 410 0.87208554182618
"83" 390 0.87208554182618
"84" 130 0.87208554182618
"85" 130 0.87208554182618
"86" 400 0.87208554182618
"87" 380 0.87208554182618
"88" 380 0.87208554182618
"89" 350 0.87208554182618
"90" 370 0.87208554182618
"91" 400 0.87208554182618
"92" 420 0.87208554182618
"93" 220 0.87208554182618
"94" 230 0.87208554182618
"95" 230 0.87208554182618
"96" 370 0.87208554182618
"97" 370 0.87208554182618
"98" 370 0.87208554182618
"99" 420 0.87208554182618
"100" 400 0.87208554182618
"101" 410 0.87208554182618
"102" 410 0.87208554182618
"103" 270 0.87208554182618
"104" 270 0.87208554182618
"105" 410 0.87208554182618
"106" 420 0.87208554182618
"107" 390 0.87208554182618
"108" 380 0.87208554182618
"109" 390 0.87208554182618
"110" 370 0.87208554182618
"111" 160 0.87208554182618
"112" 400 0.87208554182618
"113" 430 0.87208554182618
"114" 430 0.87208554182618
"115" 150 0.87208554182618
"116" 80 0.87208554182618
"117" 80 0.87208554182618
"118" 50 0.945398258622218
"119" 60 0.945398258622218
"120" 140 0.945398258622218
"121" 130 0.945398258622218
"122" 20 0.945398258622218
"124" 20 0.945398258622218
"125" 40 0.945398258622218
"126" 20 0.945398258622218
"128" 30 0.945398258622218
"129" 10 0.945398258622218
"130" 20 0.945398258622218
"131" 20 0.945398258622218
"132" 10 0.945398258622218
"133" 20 0.945398258622218
"134" 10 0.945398258622218
"135" 10 0.945398258622218
"136" 10 0.945398258622218
"137" 40 0.945398258622218
"138" 50 0.945398258622218
"139" 50 0.945398258622218
"140" 460 0.87208554182618
"141" 460 0.87208554182618
"142" 620 0.878635150608654
"143" 640 0.878635150608654
"144" 280 0.966318654074634
"145" 260 0.966318654074634
"146" 290 0.966318654074634
"147" 270 0.966318654074634
"148" 260 0.966318654074634
"149" 280 0.966318654074634
"150" 100 0.966318654074634
"151" 100 0.966318654074634
"152" 100 0.966318654074634
"153" 90 0.966318654074634
"154" 520 0.823119524247263
"155" 460 0.823119524247263
"156" 610 0.823119524247263
"157" 620 0.823119524247263
"158" 560 0.878635150608654
"159" 570 0.878635150608654
"160" 580 0.878635150608654
"161" 570 0.878635150608654
"162" 140 0.87208554182618
"163" 140 0.87208554182618
"164" 130 0.87208554182618
"165" 10 0.87208554182618
"166" 130 0.87208554182618
"167" 10 0.87208554182618
"168" 50 0.878635150608654
"169" 20 0.878635150608654
"170" 40 0.878635150608654
"171" 180 0.966318654074634
"172" 150 0.966318654074634
"173" 110 0.966318654074634
"174" 90 0.966318654074634
"175" 110 0.966318654074634
"176" 110 0.966318654074634
"177" 10 0.848742677074399
"178" 10 0.848742677074399
"179" 20 0.848742677074399
"181" 60 0.848742677074399
